trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.16210086933665,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.1195410822801,"{0: 18, 1: 8, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.88899663530486,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.53288422718,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.61705072649626,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.04030307550068,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.47376522521077,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.83637628116387,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.461353438183075,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.0411440687369,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.81304413666231,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.27127875467589,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.44389791883499,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.66830539498109,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,14,-82.42167271377723,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-214.2899979792235,"{0: 16, 1: 6, 2: 10, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.06570334732217,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.13179483451601,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.75247301018157,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.49779489813305,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.5944323880814,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-255.8591939372239,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.55811970592505,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.727344029905346,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.4702270410622,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.8961761010482,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.42042524274166,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.76617615066533,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,4,-39.18694081378734,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-199.23526901508845,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
