trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,4,-80.50788038904275,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-82.93217809973034,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-49.586850581503235,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,17,-113.59051974340179,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-127.72615417493165,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-61.144459526825976,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-76.45076206047133,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,2,-65.21740759604698,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-17.27924993268279,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-51.54865285472696,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-44.4231655957255,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-104.09412950645827,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-60.284205417231775,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,9,10.433107610373357,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-70.29762206622433,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,17.101032716705163,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,15,1.8248294019121847,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,-4.219542053035237,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,13.630615619092481,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-13.18612629563084,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,8,-62.43103998688537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,6,-12.149852372989635,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,14,10.30577991335566,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,21,14.836935681595627,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,7.855315283473403,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,3.1806228259149734,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,19.162140116854964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,9.261233148460057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,41.428043855634634,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-42.222528462606235,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
