trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998}",25,14,-26.440404449216018,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.99955}",25,0,-88.82842267615614,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9992500000000001}",35,18,-26.45560502007823,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9989000000000001}",20,0,-62.524323200501044,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9985000000000002}",30,0,-152.51408650567046,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9980500000000002}",20,1,-155.4724249475447,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.9975500000000003}",35,2,-143.7073903995275,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.9970000000000002}",20,0,-53.76305435587405,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9964000000000002}",25,0,-123.7521887358471,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9957500000000001}",20,0,-75.531629622885,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9950500000000001}",20,0,-190.09364292486376,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9943000000000001}",20,0,-90.05652634560357,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9935}",25,0,-137.19683304509786,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.99265}",20,0,-88.69386633497359,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.99175}",20,0,-87.20660616508093,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9908}",25,0,-127.53224131922428,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9898}",25,0,-171.20565952259835,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.98875}",20,0,-47.38616583618999,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.98765}",25,0,-147.0510414949683,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9865}",20,0,-128.18820350145947,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9853000000000001}",20,0,-97.8152391505742,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9840500000000001}",20,0,-46.50727962281812,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9827500000000001}",20,0,-109.34277932649286,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9814000000000002}",30,0,-69.7869594215594,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9800000000000002}",25,0,-94.17235323632072,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9785500000000003}",20,0,-98.15660727187137,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9770500000000003}",20,0,-67.66292380420964,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9755000000000003}",20,0,-164.13209116613538,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9739000000000002}",25,2,-146.25496938585826,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 3}",1
30,False,"{'a': 0.5, 'e': 0.9722500000000002}",30,0,-105.31160424283435,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9705500000000001}",20,0,-71.25957788957548,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9688000000000001}",35,0,-199.55882825884862,"{0: 21, 1: 3, 2: 6, 3: 3, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9670000000000001}",20,0,-70.36691960554808,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9651500000000001}",20,0,-56.88154581703366,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
